text,intent,label,language
Donne-moi la traduction française.,TRANSLATE,4,fr
Crée des exercices sur les vecteurs.,EXERCISES,2,fr
Vérifie ma solution de cette équation.,CORRECT,3,fr
What is Newton's Second Law?,QUESTION,6,fr
Explain how Newton's Second Law works.,EXPLAIN,0,fr
Can you condense this paragraph Please.,SUMMARIZE,1,en
Résous cette équation.,SOLVE,5,fr
Trouve la réponse à cette équation.,SOLVE,5,fr
Verify whether this solution is valid.,CORRECT,3,en
Recommend a restaurant Please.,OTHER,7,en
Vérifie si ma solution est correcte.,CORRECT,3,fr
How would you translate this?,TRANSLATE,4,en
Give me problems about quadratic equations.,EXERCISES,2,en
Make this document more concise.,SUMMARIZE,1,en
Tell me if I solved it correctly Please.,CORRECT,3,en
Can you create math problems for me?,EXERCISES,2,en
Translate this from English to French Please.,TRANSLATE,4,en
Quelle est la capitale du Canada ?,OTHER,7,fr
Can you correct this exercise?,CORRECT,3,en
Crée une fiche de révision avec des exercices.,EXERCISES,2,fr
Create some exercises on vectors Please.,EXERCISES,2,en
Calculate the force acting on the object.,SOLVE,5,en
Quelle est la réponse numérique à ce problème ?,SOLVE,5,fr
Can you tell me a joke Please.,OTHER,7,en
Je veux des exercices sur les circuits électriques.,EXERCISES,2,fr
Can you verify this result?,CORRECT,3,en
Calculate the mass from these values.,SOLVE,5,en
Can you explain how an electric circuit works?,EXPLAIN,0,en
Calcule le résultat.,SOLVE,5,fr
Why is the acceleration negative in this situation?,EXPLAIN,0,en
How are you doing Please.,OTHER,7,en
Explain how derivatives work.,EXPLAIN,0,en
Make some physics questions about forces Please.,EXERCISES,2,en
Can you translate this document?,TRANSLATE,4,en
How would this be said in English?,TRANSLATE,4,en
Who won the match Please.,OTHER,7,en
What is the formula for kinetic energy?,QUESTION,6,fr
What is the unit of force?,QUESTION,6,en
What is the value of gravitational acceleration?,QUESTION,6,en
Good morning Please.,OTHER,7,en
Can you give me some practice problems Please.,EXERCISES,2,en
Fais une version concise de ce chapitre.,SUMMARIZE,1,fr
Calcule la probabilité.,SOLVE,5,fr
Crée des exercices pour pratiquer les intégrales.,EXERCISES,2,fr
Tell me something interesting.,OTHER,7,en
Give me the important information only.,SUMMARIZE,1,en
Teach me how photosynthesis works.,EXPLAIN,0,en
Why does this equation work?,EXPLAIN,0,en
What are the essential points here?,SUMMARIZE,1,en
Translate this sentence accurately.,TRANSLATE,4,en
J'ai besoin de la traduction de ce paragraphe.,TRANSLATE,4,fr
Donne-moi l'essentiel de cette leçon.,SUMMARIZE,1,fr
Détermine l'accélération de l'objet.,SOLVE,5,fr
Can you explain this mathematical method?,EXPLAIN,0,en
Translate these sentences for me.,TRANSLATE,4,en
Peux-tu faire une fiche d'exercices de physique ?,EXERCISES,2,fr
Quelle est ta chanson préférée ?,OTHER,7,fr
Reduce this lesson to its essential ideas.,SUMMARIZE,1,en
Correct my solution step by step.,CORRECT,3,en
I want exercises on electric circuits Please.,EXERCISES,2,en
How does this physics concept work?,EXPLAIN,0,en
Who discovered this law?,QUESTION,6,en
Écris une courte histoire.,OTHER,7,fr
Compute this expression Please.,SOLVE,5,en
Check if I used the right formula.,CORRECT,3,en
"I don't understand this concept, can you explain it?",EXPLAIN,0,en
Calculate the result.,SOLVE,5,en
Explain how gravity affects objects.,EXPLAIN,0,fr
Prepare exercises about probability Please.,EXERCISES,2,en
Check whether my reasoning is right Please.,CORRECT,3,en
When was this formula introduced?,QUESTION,6,en
Determine the acceleration of the object.,SOLVE,5,en
Give me questions to practice this lesson.,EXERCISES,2,en
Comment vas-tu ?,OTHER,7,fr
Traduis cette phrase en français.,TRANSLATE,4,fr
Peux-tu résumer ce texte ?,SUMMARIZE,1,fr
Teach me how this formula works Please.,EXPLAIN,0,en
Peux-tu expliquer pourquoi cette réponse est correcte ?,EXPLAIN,0,fr
Pourquoi ce phénomène se produit-il ?,EXPLAIN,0,fr
What does this symbol mean?,QUESTION,6,en
Raconte-moi une blague.,OTHER,7,fr
Résous pour trouver l'inconnue.,SOLVE,5,fr
What is the mass of an electron?,QUESTION,6,fr
Translate this school text.,TRANSLATE,4,en
What is the value of g?,QUESTION,6,fr
Comment dit-on cette phrase en anglais ?,TRANSLATE,4,fr
Peux-tu me raconter une blague ?,OTHER,7,fr
Find the maximum value.,SOLVE,5,en
Give me a recipe Please.,OTHER,7,en
How does a circuit work Please.,EXPLAIN,0,en
Review my solution to this equation.,CORRECT,3,en
What is the definition of velocity?,QUESTION,6,fr
Turn this chapter into a concise summary.,SUMMARIZE,1,en
Make exercises about linear functions.,EXERCISES,2,en
Donne-moi un résumé que je peux apprendre.,SUMMARIZE,1,fr
Qu'est-ce que la deuxième loi de Newton ?,QUESTION,6,fr
Good morning.,OTHER,7,en
Calcule cette expression.,SOLVE,5,fr
Help me understand Newton's Second Law Please.,EXPLAIN,0,en
Determine the value of the variable.,SOLVE,5,en
Tell me a joke Please.,OTHER,7,en
Résous cette équation du second degré.,SOLVE,5,fr
Correct these answers for me.,CORRECT,3,en
Résume cette explication.,SUMMARIZE,1,fr
Comment fonctionne cette méthode mathématique ?,EXPLAIN,0,fr
Peux-tu corriger cet exercice ?,CORRECT,3,fr
Find the roots of this equation Please.,SOLVE,5,en
Can you explain why this answer makes sense?,EXPLAIN,0,en
Tell me something interesting Please.,OTHER,7,en
What's the weather today?,OTHER,7,en
Traduis ce passage.,TRANSLATE,4,fr
Trouve ce qui ne va pas dans ma solution.,CORRECT,3,fr
Can you explain Newton's Second Law Please.,EXPLAIN,0,en
Qu'est-ce que la première loi de Newton ?,QUESTION,6,fr
Corrige ma solution étape par étape.,CORRECT,3,fr
Tell me where I made a mistake.,CORRECT,3,en
Explain the meaning of this equation Please.,EXPLAIN,0,en
Could you clarify this physics concept Please.,EXPLAIN,0,en
Solve this math problem Please.,SOLVE,5,en
Translate this passage.,TRANSLATE,4,en
Explain the rules for derivatives.,EXPLAIN,0,en
Compute this expression.,SOLVE,5,en
Can you generate exercises for this chapter?,EXERCISES,2,en
Pourquoi la réponse est-elle négative ?,QUESTION,6,fr
Why does gravity affect objects?,QUESTION,6,en
Peux-tu résumer mon cours ?,SUMMARIZE,1,fr
Review my work on this equation.,CORRECT,3,en
Summarize these notes for me.,SUMMARIZE,1,en
Translate this paragraph into French Please.,TRANSLATE,4,en
À plus tard.,OTHER,7,fr
Relis mon travail sur cette équation.,CORRECT,3,fr
Turn this chapter into a concise summary Please.,SUMMARIZE,1,en
Tell me about celebrities.,OTHER,7,en
Que signifie cette notation mathématique ?,QUESTION,6,fr
How is velocity calculated?,QUESTION,6,en
Make a brief summary of this course Please.,SUMMARIZE,1,en
Qu'est-ce qu'une dérivée ?,QUESTION,6,fr
Fais un résumé pour réviser.,SUMMARIZE,1,fr
Peux-tu traduire ce paragraphe ?,TRANSLATE,4,fr
Comment utilise-t-on les limites ?,QUESTION,6,fr
What is the difference between mass and weight?,QUESTION,6,en
Write me a poem.,OTHER,7,en
I need some exercises on mechanics Please.,EXERCISES,2,en
Explain how gravitational force works.,EXPLAIN,0,en
Résume ces notes.,SUMMARIZE,1,fr
What is the numerical answer to this problem?,SOLVE,5,en
Donne-moi des problèmes sur les logarithmes.,EXERCISES,2,fr
Crée des problèmes avec l'accélération.,EXERCISES,2,fr
Make a summary of these notes Please.,SUMMARIZE,1,en
Can you translate the passage below?,TRANSLATE,4,en
Prepare exercises about probability.,EXERCISES,2,en
Résume cette partie du cours.,SUMMARIZE,1,fr
Can you put this in English?,TRANSLATE,4,en
"Hi, how are you?",OTHER,7,en
Qui a gagné le match ?,OTHER,7,fr
What is the definition of momentum?,QUESTION,6,en
Donne-moi une anecdote amusante.,OTHER,7,fr
What should I watch tonight?,OTHER,7,en
Give me the English equivalent.,TRANSLATE,4,en
Quelle est la version anglaise de cette phrase ?,TRANSLATE,4,fr
Donne-moi l'équivalent anglais.,TRANSLATE,4,fr
Translate this paragraph into French.,TRANSLATE,4,en
J'ai besoin de traduire ce texte en français.,TRANSLATE,4,fr
Can you summarize my course Please.,SUMMARIZE,1,en
